"","Ctrl_sham_surgery_1","Ctrl_sham_surgery_2","Ctrl_sham_surgery_3","Ctrl_sham_surgery_4","Ctrl_sham_surgery_5","Sepsis_induced_surgery_1","Sepsis_induced_surgery_2","Sepsis_induced_surgery_3","Sepsis_induced_surgery_4","Sepsis_induced_surgery_5"
"PROLINE",-8.5076375,-8.784779144,-8.022397247,-8.0990072,-7.277874441,-8.197660552,-8.496219891,-9.025511266,-8.720484272,-9.008464474
"PSICOSE",-4.735255153,-4.688606307,-4.734587723,-4.514296803,-4.587951726,-5.192753471,-5.173539177,-5.894665987,-5.725200301,-5.373215106
"PTERIN",-14.2542876,-14.39719119,-14.29639776,-14.21959067,-13.91866319,-13.59900764,-13.85645274,-13.26757297,-13.45978942,-13.53590681
"PURINE (1)",-16.56306001,-16.23117976,-15.34864083,-15.55369246,-14.9274617,-15.25005487,-16.14479577,-16.15801997,-16.55979716,-15.84214664
"PYRIDOXAL",-6.8180005,-7.018031264,-7.082985973,-7.172450079,-7.099529605,-6.79928392,-6.917278705,-6.697820163,-6.81976786,-6.587298633
"PYRIDOXAL-PHOSPHATE",-15.2916715,-15.48068742,-15.39112943,-14.24040454,-14.94822849,-13.75807169,-15.29930572,-13.92695018,-14.98394701,-16.30097257
"PYRIDOXAMINE",-10.22016781,-10.23558821,-9.434708386,-9.414586041,-9.415242283,-9.462229518,-9.867314627,-10.38769091,-10.33626861,-10.26412783
"PYRIDOXINE",-7.809470837,-8.261109998,-8.054017574,-8.363330182,-8.343164475,-8.150801019,-8.107300592,-8.006140649,-7.805570898,-7.587110006
"PYRUVATE",-7.967800015,-7.936413706,-7.951488914,-8.090602731,-8.093683728,-7.728433722,-7.7739475,-7.786966365,-7.795762082,-7.886899703
"PYRUVIC ALDEHYDE",-11.9112802,-12.09837841,-12.11920135,-12.14337472,-11.97302147,-11.86137942,-11.87606861,-11.63342478,-11.84072682,-11.7171069
"QUINATE",-10.71918922,-10.89160349,-10.61278122,-10.86398424,-10.69065849,-10.78389619,-10.60790665,-10.19823534,-10.48349378,-10.36746177
"QUINOLINATE",-14.83133651,-14.76478046,-14.91715281,-14.5124698,-15.53676802,-14.46618831,-14.94512342,-15.17107613,-14.42058022,-14.33237164
"RAFFINOSE",-15.95506754,-15.47717306,-15.58650332,-15.61623608,-14.67925757,-14.83950912,-15.67252456,-16.76060428,-17.75971826,-15.70462844
"RETINOATE",-12.42292562,-13.44099999,-12.90331585,-12.797257,-13.0566116,-11.76238957,-12.67109002,-13.17682556,-13.09096684,-12.24316367
"RHAMNOSE",-13.35380869,-13.12030655,-13.51196309,-13.66221692,-13.35581355,-13.84445707,-13.39102189,-14.14508092,-14.69824393,-13.37658024
"RIBITOL",-15.22477971,-16.83764333,-14.28393514,-14.91738308,-14.90771777,-13.96970099,-14.74961869,-14.40747141,-15.58836631,-17.73362219
"RIBOFLAVIN",-12.61055262,-12.53930206,-12.40257963,-12.46131831,-11.85140362,-11.8503884,-12.42883378,-13.16371751,-13.44540836,-13.03640277
"RIBOSE",-11.10336476,-11.13988003,-11.04173869,-10.88803618,-11.0323608,-11.44814353,-11.50985077,-12.01104038,-11.81380251,-11.59856338
"S-ADENOSYLHOMOCYSTEINE",-10.08187754,-10.50826111,-10.42522701,-9.564596245,-10.66896058,-10.85078469,-10.84120526,-12.59763549,-12.05065609,-10.81943207
"SACCHARATE",-12.7911329,-13.10244792,-12.7554094,-12.19081043,-12.10916299,-12.1226864,-13.23002741,-13.22200265,-13.26377749,-13.37685371
"SALSOLINOL",-13.69426123,-13.6194936,-13.34645223,-13.23510624,-13.50881501,-13.46808541,-13.55677669,-13.37780711,-13.31802347,-13.67154609
"SARCOSINE",-11.28362304,-11.4636666,-11.23204629,-11.24570308,-10.7359167,-11.24909338,-11.19660682,-12.02207772,-11.68243054,-11.57171996
"SEBACATE",-9.907962853,-10.07839233,-10.44678383,-10.71886471,-10.33213611,-10.53325319,-10.69298446,-10.52725097,-10.0288289,-10.53773571
"SERINE",-11.08912429,-10.96697832,-10.33383789,-10.72323674,-10.05114071,-10.83601651,-10.6585177,-11.15437802,-10.84226597,-11.33271037
"SEROTONIN",-14.51708114,-15.73119239,-14.9535948,-13.98449728,-15.74622139,-16.34065742,-13.41800995,-14.53880791,-13.3404388,-15.2274368
"SORBITOL",-13.0864393,-13.20144358,-13.16545418,-13.30680409,-13.47809643,-13.28415521,-13.50338171,-13.55827748,-13.76360169,-13.54299005
"SORBOSE",-7.182922251,-6.847111404,-7.253565845,-6.50497607,-6.494562523,-6.853564072,-6.998971661,-7.752085333,-7.59326567,-7.306146124
"SPERMIDINE",-12.1200306,-12.30731609,-12.83837569,-11.46131831,-12.68312596,-11.45018671,-11.23590282,-12.29243995,-12.23081431,-11.95302299
"SPERMINE",-12.71516693,-12.35651664,-13.01616281,-12.88167715,-13.95614446,-13.07132869,-13.3733063,-13.29154857,-13.04157472,-13.04124674
"SPHINGANINE",-24.15551705,-17.8771717,-14.8562976,-12.77575822,-14.11201537,-14.84761741,-12.37220626,-13.76014302,-13.45743544,-14.37658024
"STEARATE",-5.865702898,-7.160634793,-6.491124534,-7.221408645,-7.22673796,-6.604800779,-6.908154547,-6.828428234,-6.332227217,-6.976452201
"SUBERATE",-10.08996531,-10.29145725,-10.3605281,-11.06651134,-10.8552681,-10.32843996,-10.36058826,-10.24607853,-10.98659036,-10.30449101
"SUCCINATE",-6.874718934,-6.494373937,-6.396299765,-6.080085136,-7.103680249,-7.3388864,-7.112505457,-8.857093086,-8.173745291,-6.820130284
"SUCCINATE SEMIALDEHYDE",-13.65336593,-13.10067025,-14.15122444,-13.50655683,-13.87545841,-14.20411072,-14.54774684,-15.26515938,-15.55444818,-14.83975505
"SUCROSE",-13.85823923,-15.05742605,-14.62868855,-13.77232232,-13.51303942,-14.60087712,-14.18335632,-14.33056185,-15.16598496,-16.19108778
"TAGATOSE",-4.735255153,-4.688606307,-4.734587723,-4.514296803,-4.587951726,-5.192753471,-5.173539177,-5.894665987,-5.725200301,-5.373215106
"TAURINE",-8.796691608,-8.662731388,-8.692417334,-8.947445725,-8.770530485,-9.355269208,-8.748494213,-7.574483195,-8.080219243,-8.796325587
"THEOPHYLLINE",-11.43548661,-11.42382484,-11.99055088,-12.28013333,-12.337302,-14.07873664,-14.98829128,-14.96944226,-15.68275868,-14.22009483
"THIAMINE MONOPHOSPHATE",-13.520706,-14.56059684,-14.58544369,-13.71384969,-13.30143654,-15.43733344,-14.59533195,-13.47771589,-13.97012765,-14.18036855
"THIAMINE PYROPHOSPHATE",-13.67305782,-13.87781703,-13.45989649,-13.39328884,-12.90743593,-12.96505248,-13.6122998,-14.26757297,-14.15374295,-13.10150398
"THIOUREA",-14.7250645,-14.77407821,-15.80092084,-14.58273213,-15.1249835,-15.98702047,-13.90639103,-19.19754834,-16.55979716,-14.42429413
"THREITOL",-14.65367987,-14.999064,-14.02230755,-16.13083546,-14.43233061,-14.56416346,-14.33744085,-14.48076062,-15.25876429,-16.1697213
"THREONINE",-11.32660539,-11.76457677,-11.34581516,-11.59097641,-10.7568989,-11.30331493,-11.04469553,-11.34765092,-11.20582522,-11.04940369
"THYMIDINE",-7.572608812,-7.731286834,-7.272927496,-7.307648732,-7.562761547,-7.191068481,-7.252922839,-7.343362896,-6.87386416,-7.34364732
"THYMIDINE-MONOPHOSPHATE",-13.29210509,-12.63135493,-14.15104087,-13.05303818,-13.62843401,-16.76164419,-13.03888726,-14.20089178,-14.73503596,-14.46276828
"THYMINE",-15.24562397,-14.91096001,-14.89765663,-14.16436508,-15.02132863,-14.53840037,-13.89528722,-12.83999633,-13.33236211,-12.89231993
"THYROTROPIN RELEASING HORMONE",-13.6940376,-13.3408885,-13.51072844,-13.01385934,-11.85039369,-12.89260487,-13.88270092,-13.99243391,-13.91330315,-14.19468822
"THYROXINE",-11.49373895,-13.67495716,-10.8155195,-10.68100643,-12.05622342,-11.35099136,-11.39744194,-11.95314045,-12.26115801,-12.36287161
"TRANS-ACONITATE (1)",-11.70060227,-11.37268221,-11.24776848,-11.20105741,-11.86188325,-12.22414369,-11.73721661,-10.98042181,-10.87684385,-11.80637221
"TRANS-CINNAMATE",-6.71574905,-6.816246447,-6.789264119,-6.881547549,-7.03019303,-6.599470289,-6.87071367,-6.803889685,-6.707452007,-6.581606439
"TREHALOSE",-13.13870876,-12.14572695,-13.22200739,-13.08007494,-13.95325038,-13.20680168,-13.82587642,-14.72361715,-15.60286588,-13.46168558
"TRICOSANOATE",-13.23576751,-13.04669394,-12.99613758,-13.77788522,-12.86881464,-11.93407683,-13.91918849,-14.03624742,-13.86650427,-14.22179822
"TRIGONELLINE",-8.432496384,-7.316709179,-7.364028231,-7.490130476,-7.107698289,-7.754925657,-8.913195055,-9.087015288,-10.48379644,-9.58359189
"TRIMETHYLAMINE",-12.83334665,-11.75086875,-12.32892259,-11.82654544,-11.81056521,-11.67443035,-11.74455672,-11.51905905,-11.55893698,-11.03851799
"TRYPTOPHAN",-3.865090902,-3.610290286,-3.826018805,-3.601703044,-3.287559345,-3.481634388,-3.610262366,-4.589299933,-4.181376559,-3.942583199
"TYRAMINE",-15.00498731,-14.22086842,-14.0348576,-13.93165093,-13.59673509,-13.29361922,-15.04958513,-16.25271501,-15.60773189,-14.99716732
"TYROSINE",-4.099666673,-4.182030021,-3.600558278,-3.885000136,-3.609577324,-3.756313978,-4.450675974,-4.564940144,-4.384351567,-4.413173156
"URACIL",-9.874094085,-9.592369014,-10.00764745,-9.411548397,-11.25147689,-9.549373923,-9.729670216,-10.51273479,-10.31497475,-9.840562522
"URACIL 5-CARBOXYLATE",-11.79045207,-11.99561056,-11.34980124,-12.24508658,-11.6639128,-12.32944141,-11.38854859,-10.66059542,-10.90105807,-11.87023415
"URATE",-6.224208191,-6.248667089,-6.227281578,-5.164984888,-7.260028824,-5.460611009,-5.764402348,-6.723898952,-6.247974656,-5.7282519
"UREIDOPROPIONATE",-12.81544999,-12.70576321,-11.90981083,-12.10666915,-13.15959007,-11.45106971,-11.67685064,-12.1175698,-11.18942315,-11.69972044
"URIDINE",-7.731820117,-7.632275379,-7.886427122,-7.403877613,-8.442001352,-7.2287042,-7.520059605,-9.673429988,-8.411548112,-7.595533683
"URIDINE DIPHOSPHATE GLUCOSE",-14.68055236,-14.62600988,-14.7755656,-13.90370439,-15.20900494,-14.74025356,-15.11336104,-15.21766806,-14.98624352,-15.57543517
"URIDINE DIPHOSPHATEGALACTOSE",-14.62647568,-14.68937194,-14.7755656,-13.96375177,-15.20900494,-14.74025356,-15.20592716,-15.21766806,-15.11986808,-15.57543517
"UROCANATE",-10.49007009,-10.30338427,-10.31781342,-10.47625748,-10.43396868,-10.9329438,-11.31032472,-11.15517962,-11.52285144,-11.57272771
"URSODEOXYCHOLATE",-11.17407947,-13.35454685,-12.89599561,-11.87628893,-12.75879185,-13.2113251,-10.78736328,-11.35928914,-12.29608433,-11.8796269
"VALINE",-5.379823656,-4.898920582,-5.191047607,-4.982520737,-4.888833555,-5.175897899,-5.192284901,-5.310950981,-5.208135759,-5.496623891
"VANILLIN",-9.336934874,-8.570941194,-8.319872989,-8.942828096,-8.403375068,-8.590395006,-7.274479216,-7.437798827,-7.39857469,-7.33411979
"XANTHINE",-10.86506615,-8.945230427,-11.95821546,-11.19359287,-11.78847442,-11.98527913,-12.65494781,-12.37689659,-12.14918646,-13.25906388
"XANTHOSINE",-16.71257356,-14.25919414,-15.58804549,-15.93429646,-16.34629078,-16.77361683,-15.48183076,-16.6856493,-16.75109581,-16.91140931
"XANTHURENATE",-11.84632494,-11.85439292,-11.29744436,-11.76210485,-12.07301048,-11.57002412,-12.00268871,-12.17641412,-11.78204225,-11.93450484
"XYLITOL",-15.22477971,-16.83764333,-14.28393514,-14.91738308,-14.90771777,-13.96970099,-14.74961869,-14.40747141,-15.53178278,-17.73362219
"XYLOSE",-11.10336476,-11.13988003,-11.04173869,-10.88803618,-11.0323608,-11.44814353,-11.53202519,-12.01104038,-11.81380251,-11.59856338
