"","Ctrl_sham_surgery_1","Ctrl_sham_surgery_2","Ctrl_sham_surgery_3","Ctrl_sham_surgery_4","Ctrl_sham_surgery_5","Sepsis_induced_surgery_1","Sepsis_induced_surgery_2","Sepsis_induced_surgery_3","Sepsis_induced_surgery_4","Sepsis_induced_surgery_5"
"5-HYDROXYINDOLEACETATE",-13.55815573,-14.23369246,-12.94256602,-12.40793561,-12.95673123,-11.37048798,-11.20158822,-12.18980629,-11.7690128,-11.0974521
"5-HYDROXYLYSINE",-11.27842134,-10.44457716,-10.7809417,-10.54005349,-10.09842721,-10.23785331,-10.75580003,-11.31302719,-11.6061234,-11.74301382
"5-HYDROXYTRYPTOPHAN",-13.62165867,-13.67764265,-14.05745903,-13.16673879,-13.51778375,-13.34597462,-13.49881755,-14.99362779,-14.41615429,-14.36165588
"5-METHYLCYTOSINE",-14.71050221,-14.32827845,-15.02583062,-14.75833507,-14.85815467,-16.58247534,-16.22196363,-15.06979279,-16.19513318,-16.5753601
"6-CARBOXYHEXANOATE",-10.84134857,-10.91649522,-11.62913324,-11.45405593,-11.63095081,-11.23001498,-10.88524675,-11.69340375,-10.68358702,-10.80342492
"6-HYDROXYDOPAMINE",-7.809470837,-8.255168294,-8.049463202,-8.363330182,-8.343164475,-8.149571725,-8.107300592,-8.006140649,-7.805570898,-7.587110006
"6-PHOSPHOGLUCONATE (1)",-11.62745113,-12.77785475,-12.4367562,-10.62384731,-12.18124036,-16.29644516,-15.71900946,-13.33712268,-15.28764982,-14.65062141
"ACETOACETATE",-12.28347199,-12.88622927,-12.53059948,-12.4177834,-12.27600974,-12.37608138,-11.05985695,-9.73960227,-9.537952455,-10.77813391
"ADENOSINE",-8.492820864,-7.806181174,-9.431419316,-8.921065976,-9.433590497,-9.268930237,-9.097955969,-11.07726245,-8.527094136,-9.257536407
"ADENOSINE 2',3'-CYCLIC PHOSPHATE",-12.5330076,-12.5008453,-12.768097,-11.98317673,-12.48830979,-12.69182274,-12.95250295,-12.84391138,-14.17874909,-12.98727826
"ADIPATE",-10.29014452,-9.935357081,-10.28774296,-10.038227,-10.09368589,-9.282884411,-9.638959829,-10.45568927,-10.24084068,-9.926752034
"ALLANTOIN",-10.06561803,-9.757469652,-9.738743948,-9.752596754,-9.650952982,-9.775389643,-9.71509687,-8.58127249,-9.132086321,-9.796053206
"ALLOSE",-4.735255153,-4.688606307,-4.734587723,-4.514296803,-4.587951726,-5.192753471,-5.173539177,-5.894665987,-5.725200301,-5.373215106
"ALLOTHREONINE",-11.32660539,-11.76457677,-11.34581516,-11.59097641,-10.7568989,-11.30331493,-11.04469553,-11.34765092,-11.20582522,-11.04940369
"ALPHA-D-GLUCOSE",-4.735255153,-4.688606307,-4.734587723,-4.514296803,-4.587951726,-5.192753471,-5.173539177,-5.894665987,-5.725200301,-5.373215106
"ALPHA-HYDROXYISOBUTYRATE",-8.141178105,-8.27721258,-8.339313749,-8.504648073,-8.379342791,-7.361048503,-6.988159199,-5.105280686,-5.900597427,-6.836451593
"ALPHA-TOCOPHEROL",-14.80016596,-23.6320592,-14.75927315,-12.36702196,-18.00925579,-11.12495965,-12.14761629,-12.84195253,-12.789279,-12.94052549
"AMINOADIPATE",-11.36034797,-11.86760149,-11.59066328,-11.33209148,-11.86091465,-11.61526384,-11.38303577,-11.14251419,-10.22500778,-10.742647
"AMINOISOBUTANOATE",-10.62626248,-10.46250228,-10.59922484,-10.36199098,-10.65330882,-10.11216204,-10.21991719,-9.53332326,-9.712348672,-10.25996937
"ANSERINE",-12.58239546,-12.3247436,-12.49516706,-12.7734162,-12.46705899,-13.09046905,-12.2055694,-12.82060536,-12.38373687,-12.87982874
"ARABINOSE",-11.14275948,-11.13988003,-11.04173869,-10.88803618,-11.0323608,-11.44814353,-11.53202519,-12.01104038,-11.81380251,-11.59856338
"ARABITOL",-15.22477971,-16.83764333,-14.28393514,-14.91738308,-14.90771777,-13.96970099,-14.74961869,-14.40747141,-15.58836631,-17.73362219
"ARACHIDATE",-10.45280272,-10.71087743,-10.17455861,-11.07671398,-10.85436951,-10.38451235,-11.66882573,-11.38012843,-11.31294803,-12.10873555
"ARGININE",-6.631872599,-6.969805068,-6.608786293,-6.715535094,-6.173679175,-6.802070518,-6.670183828,-6.943231282,-6.623239113,-6.90561933
"ASCORBATE",-14.13592632,-15.38413169,-14.35527392,-14.19461137,-14.28133534,-14.2386837,-13.48539443,-13.83739219,-13.52256425,-13.58122711
"ASPARAGINE",-9.673506653,-10.26984808,-9.50918112,-9.77443444,-8.522898232,-9.880036927,-9.28192565,-8.460359176,-8.870189764,-9.580795025
"ASPARTATE",-13.01917011,-12.76802888,-12.83615175,-12.4977773,-13.22750128,-12.56028762,-13.39609125,-12.84137768,-12.88061701,-12.67389781
"AZELATE",-7.725467563,-7.480037943,-7.918069243,-8.099132262,-7.546432935,-7.428148551,-7.924150714,-8.565927487,-8.686401485,-8.375353958
"BENZOATE",-8.932194062,-8.010694106,-8.317442333,-8.513621175,-8.207008713,-8.371635164,-7.423180304,-7.155711761,-7.187344603,-7.12496559
"BENZYL ALCOHOL",-14.90796285,-15.50706881,-14.46240771,-15.09981332,-14.91866319,-17.66790272,-18.05740463,-17.09598951,-17.87932831,-16.91247016
"BETA-ALANINE",-11.28362304,-11.4636666,-11.23204629,-11.24570308,-10.7359167,-11.24909338,-11.19660682,-12.02207772,-11.68243054,-11.57171996
"BETA-GLYCEROPHOSPHATE",-11.58824886,-11.43445798,-11.25357938,-10.97712756,-11.46649225,-12.6780457,-12.45794481,-12.333413,-12.03179781,-12.97901095
"BETAINE",-5.379823656,-4.898920582,-5.191047607,-4.982520737,-4.888833555,-5.175897899,-5.192284901,-5.310950981,-5.208135759,-5.496623891
"BILIVERDIN",-17.13314924,-16.18084809,-17.13193204,-15.21100581,-16.35390396,-15.50059834,-12.12938072,-11.72933915,-11.88829656,-14.06078693
"BIOTIN",-14.20569034,-13.71319596,-13.00830069,-13.18041749,-14.16292964,-13.97487504,-14.27443105,-11.7753278,-13.59680667,-14.25718414
"BIS(2-ETHYLHEXYL)PHTHALATE",-8.074990957,-11.08198342,-10.80503711,-10.18085894,-10.82109887,-7.495573986,-9.83063552,-11.1165611,-10.97768593,-9.082097269
"BUTANOATE",-12.0666606,-12.05047063,-12.11260058,-11.75118243,-11.91397454,-11.63208758,-11.62531668,-11.66087082,-11.82249709,-11.73693155
"CADAVERINE",-14.31788912,-14.47218786,-15.34864083,-14.854862,-14.75627505,-15.00455039,-15.89686825,-14.20592152,-14.2228604,-17.50229664
"CAFFEINE",-14.28978378,-13.68661536,-12.95611333,-12.80890736,-13.75879945,-13.61846129,-13.25605252,-12.89376759,-13.93760175,-14.66472711
"CARNOSINE",-13.76275645,-13.80001223,-14.02557759,-13.73183674,-13.71781567,-13.46422896,-13.94261372,-13.18363457,-13.23548199,-13.8078872
"CDP-ETHANOLAMINE",-12.72248304,-12.88454289,-12.14148533,-12.50432015,-12.09954855,-11.6906228,-12.14633836,-13.28560689,-12.62815026,-13.14544733
"CELLOBIOSE",-13.13870876,-12.14572695,-13.22200739,-13.08007494,-13.95325038,-13.20680168,-13.82587642,-14.72361715,-15.60286588,-13.46168558
"CHENODEOXYCHOLATE",-11.07953659,-10.96561326,-11.1974652,-10.93472185,-11.11302432,-10.87839501,-10.25668675,-11.07860726,-10.32307945,-10.53722497
"CHOLATE (1)",-15.11959078,-14.9702811,-15.61432481,-15.32682656,-16.25793491,-16.57942469,-14.01208185,-16.08824969,-15.29754875,-15.41588189
"CIS-4-HYDROXY-D-PROLINE",-10.78933146,-10.6401831,-11.02054924,-10.30274187,-10.45505069,-11.0722526,-10.77953046,-10.96020557,-11.72608024,-10.66659709
"CITICOLINE",-12.67877085,-13.64621726,-13.39572596,-13.07350228,-13.04270228,-14.03845573,-13.9240144,-14.69269257,-14.74572264,-13.99195981
"CITRAMALATE",-11.34864017,-10.69490305,-10.63934011,-10.38511491,-10.3374626,-10.36094947,-11.29961607,-11.97338986,-11.64502408,-11.45073942
"CITRATE",-4.256597541,-3.899984685,-3.891880916,-3.509665862,-4.14349447,-6.573595497,-6.056730977,-4.499443451,-6.089003091,-6.421601694
"CITRULLINE",-8.21364339,-8.434400354,-8.254121038,-8.396978264,-8.119350167,-8.40822386,-8.785440307,-8.557226715,-8.786241387,-8.988312833
"CORTEXOLONE (1)",-12.73503044,-9.252274726,-12.36472331,-9.444940754,-11.12051254,-9.575008088,-8.567878457,-7.151131653,-6.618241241,-7.514857162
"CORTICOSTERONE",-12.73503044,-9.252274726,-12.36472331,-9.444940754,-11.12051254,-9.575008088,-8.567878457,-7.151131653,-6.618241241,-7.514857162
"CORTISONE",-16.20132074,-15.89059221,-16.57250463,-15.81672687,-16.51526695,-15.48575057,-14.63964585,-13.10459548,-12.56807155,-14.35833087
"CREATINE",-6.097082094,-6.029310881,-5.789567518,-5.764253366,-5.9007573,-5.883618746,-5.712978254,-5.120128728,-5.320869195,-5.790551343
"CREATININE",-8.564851182,-8.21673473,-8.229768947,-8.201855361,-8.3302883,-8.702554497,-8.167215495,-7.480642344,-7.514998434,-8.492875896
"CYCLIC AMP",-13.73977528,-14.56597001,-13.38550612,-13.05119212,-13.5324421,-13.28711697,-13.55483259,-15.24853227,-14.75648907,-12.44875619
"CYSTEAMINE",-14.65766521,-14.39126787,-15.65739353,-15.6178228,-16.18143677,-14.80399048,-15.08951333,-15.01874518,-14.4795631,-14.57301997
"CYSTEATE",-13.80126767,-13.54194678,-14.32674822,-13.98449728,-14.30696765,-13.60102264,-14.77847355,-13.22706958,-14.31534782,-15.24968961
"CYSTEINE",-15.2218264,-14.32599751,-15.93360333,-13.93599876,-15.93315281,-15.30546799,-14.50817115,-16.10694579,-16.08247538,-14.15214867
"CYSTINE",-12.21116044,-13.36874263,-13.45455867,-12.78985559,-13.28687446,-13.30345698,-14.13241661,-14.51665057,-13.6023868,-12.74368262
"CYTIDINE",-12.86607448,-12.27176077,-12.87762444,-12.37508173,-13.29501028,-12.14571821,-12.51969579,-12.3684129,-12.26836309,-11.74115586
"CYTIDINE 2',3'-CYCLIC PHOSPHATE",-14.20132074,-13.76942184,-14.48989936,-14.17437688,-14.24018936,-14.72050549,-14.51058975,-13.16371751,-13.90879238,-14.94127984
"CYTIDINE MONOPHOSPHATE",-15.7167252,-14.85398207,-14.68776718,-16.33130004,-14.70182727,-14.95940824,-15.4489875,-14.99823953,-14.83419143,-15.04124674
"D-ALANINE",-11.28362304,-11.4636666,-11.23204629,-11.24570308,-10.7359167,-11.24909338,-11.19660682,-12.02207772,-11.68243054,-11.57171996
"D-GLUCURONOLACTONE",-11.41382572,-11.53818656,-11.31690247,-11.48637697,-11.51343611,-11.8117933,-11.40130214,-11.41242455,-11.24803441,-11.60682506
"D-MANNOSAMINE",-6.863988061,-6.825863554,-6.85771375,-6.632170072,-6.942165446,-7.268687377,-7.396128951,-8.031061807,-7.915577774,-7.471455374
"D-ORNITHINE",-10.51760163,-10.63590592,-10.71330331,-10.4661394,-10.55854769,-10.16217745,-11.18275733,-11.14453336,-11.92380294,-11.34661648
"D-PINITOL",-16.91640592,-16.54581472,-16.23991317,-17.10107055,-17.57300808,-17.59389716,-16.89257304,-17.28317024,-16.29887707,-16.80629042
"D-RIBOSE 5-PHOSPHATE",-15.1056685,-14.00635036,-13.01091664,-14.73443896,-14.91896691,-15.86672623,-15.46297173,-15.84914803,-15.14475966,-15.27229104
"D-SEDOHEPTULOSE",-12.99159341,-13.4815515,-13.86140155,-13.60664023,-13.10416413,-13.99440138,-13.49091775,-13.55568192,-13.90870812,-13.42312137
"D4-TAURINE",-8.801887754,-8.33733077,-8.151581978,-8.41926614,-8.507783474,-8.329395651,-8.475910784,-8.814564131,-8.767251389,-8.196431928
"D8-PHENYLALANINE",-2.499597257,-2.301243507,-2.518969604,-2.380114893,-2.70227028,-2.43530292,-2.437566969,-2.564960654,-2.366446948,-2.348691346
"DEHYDROASCORBATE (1)",-9.905582318,-9.529788884,-9.39339543,-9.207262162,-9.616214654,-11.19781862,-11.07565123,-10.0091508,-11.00720313,-10.87615192
"Dehydroepiandrosterone sulfate (DHEAS)",-13.90877645,-14.05841201,-13.21797187,-14.00043882,-13.90212592,-13.204774,-13.35146341,-14.13225688,-13.62489219,-14.19468822
"DEOXYADENOSINE",-9.279851006,-8.90403849,-9.225277975,-8.778339454,-8.878350711,-8.611916509,-8.928232169,-8.860604834,-8.695366629,-8.84623721
"DEOXYADENOSINE MONOPHOSPHATE (1)",-14.20569034,-14.15835345,-13.21696476,-13.71970241,-14.13151154,-13.36422589,-13.34821532,-13.06902885,-13.88497025,-13.49010322
"DEOXYCARNITINE",-8.459683322,-8.335135508,-8.770184907,-8.62406794,-8.76951782,-9.15378189,-9.245389802,-9.079336749,-9.132719088,-9.721834037
"DEOXYCHOLATE",-11.07953659,-10.96561326,-11.1974652,-10.93472185,-11.11302432,-10.87839501,-10.25668675,-11.07860726,-10.32307945,-10.53722497
"DEOXYCYTIDINE",-12.29637056,-11.75439163,-11.59948383,-11.92962548,-11.97289899,-11.60502828,-11.36261657,-10.88769307,-10.90373456,-11.05506032
"DEOXYCYTIDINE MONOPHOSPHATE",-16.49018113,-16.12426456,-15.58284658,-17.39543038,-15.96777916,-15.46618831,-15.12613192,-15.70926186,-15.00020138,-15.6424743
"DEOXYCYTIDINE-DIPHOSPHATE",-9.840823666,-9.797278347,-9.402709957,-8.483971505,-9.871539273,-8.803985809,-10.1248689,-10.47846802,-10.19182765,-10.05623577
"DEOXYURIDINE",-9.400941775,-9.19908998,-8.955331366,-8.994509164,-8.893177529,-8.512094541,-8.836237847,-8.606613747,-8.722270161,-8.906944098
"DEOXYURIDINE-MONOPHOSPHATE",-13.78919484,-13.31917625,-13.81609128,-13.32682656,-13.30051675,-13.75124902,-13.58510003,-13.99243391,-14.37631583,-14.15389634
"DIAMINOPIMELATE",-12.25948745,-12.37998516,-12.57702012,-11.854862,-12.27725801,-11.75719851,-12.53377097,-11.65896419,-12.64538271,-11.59867511
"DIETHANOLAMINE",-14.19250008,-14.86996047,-14.72804377,-15.12428966,-15.68587602,-14.40404829,-14.70600892,-15.66825726,-14.42901936,-15.28032764
"DIETHYL 2-METHYL-3-OXOSUCCINATE",-11.72297515,-11.62643465,-11.99313482,-11.68529485,-12.16042424,-11.87879907,-11.89884699,-11.73235987,-12.29117489,-11.63604803
"DIHYDROBIOPTERIN",-11.84235058,-12.04147215,-11.54065577,-10.98383685,-12.2397485,-11.55444831,-11.42512175,-11.06502481,-10.8602644,-11.72417894
"DIHYDROFOLATE",-14.59781193,-13.57072744,-14.27416781,-13.67983,-13.5937326,-13.47036549,-14.0302198,-13.90036399,-14.2978049,-14.48326533
"DIHYDROOROTATE",-13.17628509,-11.89469085,-12.78968671,-12.94404985,-12.24035649,-11.99301963,-13.12769596,-12.13769269,-12.93446987,-12.83846958
"DIHYDROURACIL",-11.98402747,-11.36644415,-11.27578504,-11.49479877,-12.20233031,-10.84012288,-11.24619438,-11.6226395,-10.91745046,-11.13435615
"DIHYDROXYACETONE PHOSPHATE",-14.60477027,-15.01734936,-14.33984388,-14.32682656,-14.42629843,-14.61441824,-16.31190575,-14.89986779,-14.477335,-16.35029355
"DIPALMITOYL-PHOSPHOETHANOLAMINE",-11.80540031,-12.2750707,-12.43502182,-12.570061,-12.32620615,-11.81100361,-12.40604091,-12.79328339,-12.33884044,-12.70096605
"DOCOSAHEXAENOATE",-5.845499007,-6.792535527,-6.242019861,-6.345767435,-7.064055841,-6.735052159,-5.170851816,-4.692462759,-4.759994422,-5.269094934
"DOPAMINE",-2.882343144,-2.795975914,-2.750699194,-2.939016594,-2.868035419,-2.554726266,-2.577828884,-2.471032736,-2.495928877,-2.587078718
"EICOSAPENTAENOATE",-6.922375418,-7.09960234,-7.217393397,-7.122124526,-7.631864802,-7.36954125,-6.636391777,-6.23814569,-6.479714686,-6.333402385
"ELAIDATE",-3.339910196,-4.098903278,-4.164221376,-4.728497405,-5.816961027,-4.830052006,-3.462552677,-2.845016267,-2.832488107,-3.229627616
"EPINEPHRINE",-11.66667271,-12.99543458,-11.93567289,-11.34226261,-12.47631551,-10.32722273,-11.12613192,-12.44612826,-13.18691788,-11.36514736
"ERUCATE",-10.78910617,-11.37689643,-10.72795772,-12.21207382,-11.43149308,-10.62683881,-11.76238441,-11.27468446,-11.19042862,-12.06940314
"ERYTHRITOL",-14.65367987,-14.999064,-14.02230755,-16.13083546,-14.43233061,-14.56416346,-14.33744085,-14.48076062,-15.25876429,-16.1697213
"ETHYLMALONATE",-11.01023569,-10.47637178,-10.13873604,-10.34912102,-10.56887887,-10.76029768,-10.78369223,-10.50566703,-9.732644611,-10.88405256
"FERULATE",-11.97396041,-12.44485762,-11.38354561,-11.61325452,-10.29508648,-10.71522477,-11.83193521,-14.03624742,-14.19803969,-12.71607295
"FOLATE",-14.57435295,-13.40200821,-14.33729579,-14.787429,-12.87791684,-13.65230586,-14.98105375,-14.82150857,-14.86905998,-14.99047267
"FRUCTOSE 6-PHOSPHATE",-11.8181739,-12.17724585,-11.63771857,-11.37219807,-12.38087101,-12.14426021,-12.91838358,-12.64580448,-12.39775145,-12.69303465
"FUCOSE",-13.18181969,-12.85233985,-13.52686197,-13.66221692,-13.23402962,-13.35071109,-13.41800995,-13.95525636,-13.97955707,-13.29139986
"FUMARATE",-11.22705307,-11.47562791,-11.06078486,-10.42738798,-11.01679066,-12.52607546,-12.28519765,-12.37690272,-12.6620976,-11.97139681
"GALACTARATE",-12.7911329,-13.10244792,-12.7554094,-12.19081043,-12.03907994,-12.1226864,-13.23002741,-13.22200265,-13.26377749,-13.37685371
"GALACTITOL",-13.0864393,-13.20144358,-13.16545418,-13.30680409,-13.47809643,-13.28415521,-13.50338171,-13.55827748,-13.76360169,-13.54299005
"GALACTOSAMINE",-6.863988061,-6.825863554,-6.85771375,-6.632170072,-6.942165446,-7.268687377,-7.396128951,-8.031061807,-7.915577774,-7.471455374
"GALACTOSE",-4.735255153,-4.688606307,-4.734587723,-4.514296803,-4.587951726,-5.192753471,-5.173539177,-5.894665987,-5.725200301,-5.373215106
"GALACTOSE 1-PHOSPHATE",-11.8181739,-12.17724585,-11.63771857,-11.37219807,-12.38087101,-12.14426021,-12.91838358,-12.64580448,-12.39775145,-12.69303465
"GALACTURONATE",-13.5514295,-12.95932475,-13.06132006,-13.18371562,-13.37451392,-13.68520993,-13.21950493,-11.47234362,-12.91517278,-14.01913906
"GAMMA-LINOLENATE",-6.715596911,-6.875151107,-7.03653502,-7.58148265,-8.598380494,-8.14675186,-6.513675566,-6.019183185,-6.291511268,-6.329622207
"GLUCONATE",-8.960878333,-9.007050901,-8.515934409,-8.748946974,-9.026120369,-8.686149319,-9.584669653,-9.262913397,-9.538588032,-9.329090429
"GLUCONOLACTONE",-11.7341334,-11.4730913,-11.85335127,-11.76840417,-11.92430975,-11.22640192,-11.75362389,-12.11198998,-12.28751214,-11.65723448
"GLUCOSAMINATE",-14.41742479,-14.98820301,-14.93029818,-16.23595216,-15.79202508,-14.14134861,-16.41687531,-14.21942052,-15.20247516,-14.64738979
"GLUCOSAMINE",-6.863988061,-6.825863554,-6.85771375,-6.632170072,-6.942165446,-7.268687377,-7.396128951,-8.031061807,-7.915577774,-7.471455374
"GLUCOSAMINE 6-PHOSPHATE",-15.42080743,-14.66339241,-13.8484781,-13.63292969,-13.37214794,-14.08805039,-13.62384976,-13.65551963,-14.16254897,-14.6898618
"GLUCOSAMINE 6-SULFATE",-15.16967511,-14.91438278,-14.57508318,-14.1191851,-14.18143677,-14.76761809,-15.17901148,-13.69622715,-14.59318333,-13.97641337
"GLUCOSE 1-PHOSPHATE",-11.8181739,-12.17724585,-11.63771857,-11.37219807,-12.38087101,-12.14426021,-12.91838358,-12.64580448,-12.39775145,-12.69303465
"GLUCOSE 6-PHOSPHATE",-11.8181739,-12.17724585,-11.63771857,-11.37219807,-12.38087101,-12.14426021,-12.91838358,-12.64580448,-12.39775145,-12.69303465
"GLUCURONATE",-13.5514295,-12.95932475,-13.06132006,-13.18371562,-13.37451392,-13.74010667,-13.21950493,-11.47234362,-12.91517278,-14.01913906
"GLUTAMATE",-9.466225669,-8.983119545,-10.36266804,-9.039753677,-9.58010372,-10.59495092,-10.76270463,-11.55352252,-10.71649984,-10.44757115
"GLUTAMINE",-6.227264707,-6.221324261,-5.998341998,-6.00140533,-5.917681295,-5.495099474,-5.622453611,-5.468180948,-5.322133965,-5.451007542
"GLUTARATE",-9.735921627,-9.478010038,-8.823688003,-8.980302078,-9.283549715,-9.701616715,-9.611759966,-9.786045103,-8.863315994,-9.324215787
"GLUTARYLCARNITINE",-12.8712713,-13.14522418,-12.71168369,-12.99156067,-13.98245573,-13.36196462,-13.75104781,-11.36091349,-12.37735412,-12.77336837
"GLUTATHIONE REDUCED (1)",-9.313215821,-8.751853904,-9.036340694,-8.289827938,-9.849636698,-9.721320499,-10.15457359,-10.42178566,-10.29595264,-10.17570071
"GLYCERATE",-10.53080524,-10.51161683,-10.23741447,-10.78185413,-10.12478897,-10.01841222,-10.19348772,-10.58889447,-10.18345377,-10.00663455
"GLYCEROL 3-PHOSPHATE",-11.58824886,-11.43445798,-11.25357938,-10.97712756,-11.46649225,-12.6780457,-12.45794481,-12.333413,-12.03179781,-12.97901095
"GLYCEROL-MYRISTATE",-12.63391661,-13.59176948,-12.75415071,-12.19359287,-13.3143756,-12.46618831,-11.83342587,-13.98953983,-12.72707258,-13.09731281
"GLYCINE",-13.18514144,-12.47245785,-12.9548893,-12.65924073,-12.18057093,-12.36015743,-12.80453356,-13.32702682,-13.02419287,-12.58422829
"GLYCOCHOLATE",-12.48963027,-14.22086842,-13.61329417,-13.91760999,-13.06899746,-11.88085189,-12.49483036,-15.70771892,-13.50677414,-13.48561691
"GLYOXYLATE",-14.42798484,-14.04401936,-14.20847013,-13.94835561,-13.9657701,-13.93601145,-14.04506576,-14.58449313,-14.87542496,-14.71822689
"GUAIACOL",-4.628278886,-4.772378496,-4.7055756,-4.750104498,-4.867342366,-4.557175851,-4.806373043,-4.673105205,-4.666511782,-4.533257839
"GUANIDINOACETATE",-14.01213384,-13.90584104,-13.95695381,-14.51755867,-14.2886125,-13.75717994,-13.81089503,-14.40747141,-15.05563377,-14.6572713
"GUANIDINOSUCCINATE",-14.26069929,-14.01551036,-14.24235603,-13.54977741,-14.2209181,-14.8828459,-13.99335634,-12.43525859,-14.00822083,-13.91733414
"GUANINE",-10.35492044,-10.2046154,-9.58438805,-10.0264988,-9.46306871,-10.01129016,-10.90479953,-11.35368543,-11.25208292,-11.15083931
"GUANOSINE",-12.80457787,-11.98190499,-13.60903051,-13.19563058,-12.74998331,-13.8397295,-13.40557772,-13.78251084,-13.92996439,-14.37862227
"GULOSE",-4.735255153,-4.688606307,-4.734587723,-4.514296803,-4.587951726,-5.192753471,-5.173539177,-5.894665987,-5.725200301,-5.373215106
"HEPTADECANOATE",-11.39823612,-11.22566408,-11.83127503,-11.68428047,-12.16377568,-11.44495035,-11.09715081,-11.62694629,-11.47479494,-11.79116386
"HIPPURATE",-5.766883766,-5.640034564,-6.023702781,-6.806455367,-6.284476077,-9.235451597,-10.8598674,-11.86547452,-11.76782,-12.14266131
"HISTIDINE",-7.705596205,-7.785318511,-7.72183986,-7.955654103,-7.210016061,-8.036240137,-7.784069696,-6.924690746,-7.172996675,-7.695694452
"HISTIDINOL",-15.73766454,-14.49763288,-14.98411123,-14.15442228,-14.70182727,-14.57984509,-14.33958931,-15.22451538,-14.817185,-15.52473403
"HOMOCYSTEINE",-10.88624424,-11.25892216,-11.47026644,-11.27878262,-11.17974446,-10.81322869,-11.26393681,-10.66876867,-11.27270348,-10.56791411
"HOMOCYSTEINE THIOLACTONE (1)",-15.33533809,-14.07363849,-14.65466374,-14.3768147,-14.80501072,-15.9123231,-15.20228126,-15.3599788,-15.62242815,-14.84779321
"HOMOCYSTINE",-12.77099257,-13.10048907,-12.96197872,-12.78424072,-12.24505965,-12.87405206,-12.77039495,-13.62503163,-13.11227893,-12.92358619
"HOMOGENTISATE",-6.889489574,-6.859086751,-6.827947032,-6.969114274,-6.956008815,-6.598013011,-6.697527283,-6.609285766,-6.659099437,-6.665912883
"HOMOSERINE",-11.32660539,-11.76457677,-11.34581516,-11.59097641,-10.7568989,-11.30331493,-11.04469553,-11.34765092,-11.20582522,-11.04940369
"HOMOVANILLATE",-4.974517129,-5.088707785,-5.112441211,-5.149342023,-5.14771663,-4.992208801,-4.928993415,-4.847128007,-4.819148112,-4.90057395
"HYDROPHENYLLACTIC ACID (1)",-4.974517129,-5.088707785,-5.112441211,-5.149342023,-5.14771663,-4.992208801,-4.928993415,-4.847128007,-4.823509759,-4.90057395
"HYPOTAURINE",-14.05354138,-13.27011543,-14.93029818,-13.79648365,-15.47735454,-16.02229594,-15.78139104,-14.19254766,-15.1554069,-14.82812617
"HYPOXANTHINE (1)",-8.113758339,-8.131966852,-7.951743463,-7.88416032,-7.827944255,-7.705635366,-8.004364148,-7.372102742,-7.732668727,-7.908718025
"INDOLE-3-ACETAMIDE",-12.75904197,-13.28615988,-12.60217508,-13.475751,-13.06068219,-13.11732321,-13.27947039,-12.98869549,-13.33089169,-13.11418312
"INDOLE-3-ACETATE",-11.6168431,-10.93661339,-11.08868886,-11.00489847,-10.39025859,-10.29464503,-11.03300803,-11.04893053,-11.68919068,-12.27181654
"INDOLEACETALDEHYDE",-11.54726223,-11.48358262,-11.30010813,-11.22160725,-11.26801354,-11.3896246,-11.33583159,-12.62488319,-12.09011544,-11.37913323
"INDOXYL SULFATE",-5.021231554,-5.021044089,-4.724680442,-4.110153703,-4.382380551,-6.656371591,-6.677932086,-6.116858571,-5.208969231,-7.028219292
"INOSINE",-11.85716804,-10.68936144,-12.92288918,-11.80190586,-12.07144062,-12.36932677,-12.60111946,-14.35624608,-12.53583449,-13.1184857
"INOSINE-MONOPHOSPHATE",-14.8517363,-14.36293252,-14.91388509,-14.47239236,-15.23315181,-14.69751385,-15.11873347,-15.28355085,-14.95920401,-14.78686421
"ISOCITRATE",-8.948102243,-9.485819177,-9.721927633,-9.560824988,-9.442423279,-11.37928737,-10.47113593,-8.874544543,-10.09123925,-10.72403314
"ISOLEUCINE",-5.104100976,-5.014785243,-4.848079948,-4.975414094,-4.784214089,-5.037530188,-4.941065422,-5.183705514,-4.981467636,-4.87443911
"ITACONATE",-14.69060602,-14.76182374,-16.41786127,-15.38843944,-15.09423475,-12.16214984,-11.58732053,-11.78413703,-10.87996607,-11.35734289
"KYNURENATE",-10.99517288,-10.90861156,-10.74142364,-10.95593676,-11.06752345,-10.66474394,-11.53223439,-12.39880654,-11.92882226,-11.7922981
"KYNURENINE",-10.97281234,-11.15733925,-10.70761103,-10.78608372,-10.72077418,-10.52806412,-10.49718744,-10.00042267,-10.05636112,-10.38335557
"L-ALANINE",-11.28362304,-11.4636666,-11.23204629,-11.24570308,-10.7359167,-11.24909338,-11.19660682,-12.02207772,-11.68243054,-11.57171996
"L-CARNITINE",-4.996295756,-5.242397193,-5.287536843,-5.475644079,-4.781047356,-5.224145507,-5.357188573,-6.286437036,-6.473370586,-5.809939911
"L-DOPA",-11.1689639,-11.6145548,-11.11705998,-11.65483918,-11.28042827,-11.06902148,-12.22196363,-11.40000689,-11.79551096,-11.87961208
"L-GULONOLACTONE",-12.00131339,-11.83179097,-11.6775535,-11.47348205,-12.01238874,-11.82159807,-11.71832227,-11.0524661,-11.18627986,-11.80274282
"L-ORNITHINE",-10.51760163,-10.63590592,-10.71330331,-10.4661394,-10.51956332,-10.16217745,-11.18275733,-11.14453336,-11.92380294,-11.34661648
